Domain;Sample URL;SERP appearances;Best position;Detected queries
avito.ru;https://www.avito.ru/mahachkala/predlozheniya_uslug/remont_i_otdelka/remont_kvartir_i_domov_pod_klyuch-ASgBAgICAkSYC8CfAcQVwPUB;8;1;отделочные работы махачкала, проектирование домов махачкала, сколько стоит построить дом в дагестане, строительство домов в дагестане, строительство домов махачкала, строительство домов под ключ махачкала, цены на отделочные работы в махачкале
profi.ru;https://profi.ru/geo-dagestan/remont/otdelochniki/price/?srsltid=AfmBOop4As6UeR7RlzaZdaXcXdIEMQR8k1w1z3miWT8DLyW32jPDoT9n;5;2;отделочные работы махачкала, проект инженерных сетей частного дома махачкала, строительство домов в дагестане, строительство домов махачкала, цены на отделочные работы в махачкале
maxachkala.domclick.ru;https://maxachkala.domclick.ru/stroitelstvo-domov;4;1;сколько стоит построить дом в дагестане, строительство домов в дагестане, строительство домов махачкала, строительство домов под ключ махачкала
instagram.com;https://www.instagram.com/gipsokarton.otdelka/;4;5;отделочные работы махачкала, строительство домов в дагестане, строительство домов махачкала
2gis.ru;https://2gis.ru/makhachkala/search/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20(%D1%81%D0%B5%D1%82%D0%B5%D0%B9)/rubricId/5659;3;4;проект инженерных сетей частного дома махачкала, проектирование домов махачкала, строительство домов махачкала
mahachkala.365rem.ru;https://mahachkala.365rem.ru/ceni-na-otdelochnie-raboti.asp;2;1;отделочные работы махачкала, цены на отделочные работы в махачкале
mahachkala.myguru.ru;https://mahachkala.myguru.ru/services/otdelochnye-raboty/;2;2;отделочные работы махачкала, цены на отделочные работы в махачкале
mahachkala.vsevdom.info;https://mahachkala.vsevdom.info/repair;2;4;отделочные работы махачкала, цены на отделочные работы в махачкале
mahachkala.ruplans.ru;https://mahachkala.ruplans.ru/proekti/proekty-domov/proekty-chastnyh-domov/;2;5;проектирование домов махачкала, сколько стоит построить дом в дагестане
mahachkala.stroyportal.ru;https://mahachkala.stroyportal.ru/catalog/section-otdelochnye-raboty-i-remont-435/;2;5;отделочные работы махачкала, цены на отделочные работы в махачкале
zoon.ru;https://zoon.ru/makhachkala/building/type/proektirovanie_inzhenernyh_sistem/;1;2;проект инженерных сетей частного дома махачкала
mahachkala.skidkom.ru;https://mahachkala.skidkom.ru/uslugi/proektirovanie-inzhenernyh-sistem/f:vid-sistemy-pozharotusheniya_avtomaticheskaya-sistema-pozharotusheniya/;1;6;проект инженерных сетей частного дома махачкала
yandex.ru;https://yandex.ru/maps/28/makhachkala/category/construction_and_finishing_works/184107547/;1;6;отделочные работы махачкала
makhachkala.spravker.ru;https://makhachkala.spravker.ru/otdelochnye-raboty/;1;10;отделочные работы махачкала
uslugi.yandex.ru;https://uslugi.yandex.ru/28-makhachkala/category/remont-i-stroitelstvo/stroitelstvo-domov-i-kottedzhej--1954;1;10;строительство домов махачкала
